GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Corporate Banking System,com.corporatebank.service,CreditRequestService,81,22,6,2,19,6,7,3,3,3
Corporate Banking System,com.corporatebank.service,AuthService,31,83,2,2,6,22,3,3,1,3
Corporate Banking System,com.corporatebank.service,ClientService,15,34,0,0,2,9,2,3,2,3
Corporate Banking System,com.corporatebank.config,CorsConfig,40,0,0,0,9,0,2,0,2,0
Corporate Banking System,com.corporatebank.controller,UserController,13,0,0,0,4,0,2,0,2,0
Corporate Banking System,com.corporatebank.controller,AdminController,51,0,0,0,13,0,5,0,5,0
Corporate Banking System,com.corporatebank.controller,CreditRequestController,54,0,6,0,8,0,8,0,5,0
Corporate Banking System,com.corporatebank.controller,AuthController,51,0,0,0,12,0,4,0,4,0
Corporate Banking System,com.corporatebank.controller,ClientController,27,0,0,0,7,0,4,0,4,0
Corporate Banking System,com.corporatebank.exception,GlobalExceptionHandler,66,0,0,0,15,0,6,0,6,0
Corporate Banking System,com.corporatebank.exception,ApiError,33,0,0,0,12,0,6,0,6,0
Corporate Banking System,com.corporatebank.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
Corporate Banking System,com.corporatebank.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
Corporate Banking System,com.corporatebank.util,PasswordGenerator,13,0,0,0,4,0,2,0,2,0
Corporate Banking System,com.corporatebank.security,SecurityConfig,117,0,0,0,24,0,9,0,9,0
Corporate Banking System,com.corporatebank.security,CustomUserDetailsService,40,0,0,0,10,0,3,0,3,0
Corporate Banking System,com.corporatebank.security,JwtUtil,89,0,4,0,21,0,10,0,8,0
Corporate Banking System,com.corporatebank.security,JwtAuthFilter,81,0,8,0,23,0,7,0,3,0
Corporate Banking System,com.corporatebank.dto,CreditRequestCreateDTO,21,10,0,0,9,4,6,3,6,3
Corporate Banking System,com.corporatebank.dto,RegisterRequest,8,23,0,0,4,9,2,7,2,7
Corporate Banking System,com.corporatebank.dto,CreditRequestUpdateDTO,17,0,0,0,7,0,5,0,5,0
Corporate Banking System,com.corporatebank.dto,CreditRequestDTO,3,0,0,0,1,0,1,0,1,0
Corporate Banking System,com.corporatebank.dto,LoginRequest,4,13,0,0,2,5,1,4,1,4
Corporate Banking System,com.corporatebank.model,Role,0,21,0,0,0,4,0,1,0,1
Corporate Banking System,com.corporatebank.model,Client,42,17,0,0,18,7,12,5,12,5
Corporate Banking System,com.corporatebank.model,User,15,26,0,0,5,7,5,7,5,7
Corporate Banking System,com.corporatebank.model,CreditRequest,62,0,0,0,26,0,18,0,18,0
Corporate Banking System,com.corporatebank.model,PrimaryContact,36,0,0,0,15,0,8,0,8,0
Corporate Banking System,com.corporatebank,Application,8,0,0,0,3,0,2,0,2,0
